log MSE loss (train set)	log MSE loss (val set)	log MSE loss (test set)	
-4.7967e+00	-4.7811e+00	-4.2766e+00	
-5.8949e+00	-5.8276e+00	-5.1171e+00	
-6.0342e+00	-5.7272e+00	-5.2150e+00	
-6.1523e+00	-5.8273e+00	-5.1985e+00	
-6.2209e+00	-5.6690e+00	-5.1086e+00	
-6.2558e+00	-5.6519e+00	-5.0968e+00	
-6.2834e+00	-5.6738e+00	-5.1371e+00	
-6.2860e+00	-6.1345e+00	-5.1019e+00	
-6.1313e+00	-6.2929e+00	-4.8520e+00	
-6.0367e+00	-5.9859e+00	-4.8642e+00	
-6.0235e+00	-5.9991e+00	-4.8569e+00	
-6.0388e+00	-5.8501e+00	-4.8647e+00	
-6.0242e+00	-5.7101e+00	-5.0473e+00	
