log MSE loss (train set)	log MSE loss (val set)	log MSE loss (test set)	
-4.4283e+00	-4.4328e+00	-4.0650e+00	
-5.8498e+00	-5.7625e+00	-5.0927e+00	
-6.0750e+00	-5.7370e+00	-5.2296e+00	
-6.1575e+00	-5.8457e+00	-5.2142e+00	
-6.2176e+00	-5.6971e+00	-5.0987e+00	
-6.2510e+00	-5.6964e+00	-5.1169e+00	
-6.2982e+00	-5.7120e+00	-5.1700e+00	
-6.3542e+00	-6.1665e+00	-5.1028e+00	
-6.1724e+00	-6.3011e+00	-4.8598e+00	
-6.0525e+00	-6.0168e+00	-4.8818e+00	
-6.0772e+00	-6.0269e+00	-4.8794e+00	
-6.0597e+00	-5.8635e+00	-4.8852e+00	
-6.0771e+00	-5.7636e+00	-5.0605e+00	
